File: azcopy-live.exe
Build ID: C:\Users\sharankur\AppData\Local\Temp\azcopy-large-buffer128-profiled-sep09\azcopy-live.exe2026-09-09 17:23:24.3517385 +0530 IST
Type: inuse_space
Time: 2026-09-09 17:37:13 IST
Showing nodes accounting for 102.31MB, 97.13% of 105.34MB total
Dropped 58 nodes (cum <= 0.53MB)
Showing top 12 nodes out of 40
      flat  flat%   sum%        cum   cum%
   88.03MB 83.57% 83.57%    88.03MB 83.57%  github.com/Azure/azure-storage-azcopy/v10/common.(*multiSizeSlicePool).RentSlice
    7.63MB  7.25% 90.82%     7.63MB  7.25%  github.com/Azure/azure-storage-azcopy/v10/common.NewChunkStatusLogger
    2.58MB  2.45% 93.27%    10.22MB  9.70%  github.com/Azure/azure-storage-azcopy/v10/ste.NewJobMgr
    2.50MB  2.38% 95.64%     2.50MB  2.38%  runtime.mallocgc
    1.06MB  1.01% 96.66%     1.06MB  1.01%  github.com/Azure/azure-storage-azcopy/v10/cmd.init.func1
    0.50MB  0.47% 97.13%        1MB  0.95%  google.golang.org/protobuf/internal/filedesc.newRawFile
         0     0% 97.13%    10.22MB  9.70%  github.com/Azure/azure-storage-azcopy/v10/azcopy.(*Client).Copy
         0     0% 97.13%    10.22MB  9.70%  github.com/Azure/azure-storage-azcopy/v10/azcopy.(*CopyTransferProcessor).DispatchFinalPart
         0     0% 97.13%    10.22MB  9.70%  github.com/Azure/azure-storage-azcopy/v10/azcopy.(*CopyTransferProcessor).sendPartToSte
         0     0% 97.13%    10.22MB  9.70%  github.com/Azure/azure-storage-azcopy/v10/azcopy.(*transferExecutor).initCopyEnumerator.func4
         0     0% 97.13%    10.22MB  9.70%  github.com/Azure/azure-storage-azcopy/v10/cmd.InitializeAndExecute
         0     0% 97.13%     1.06MB  1.01%  github.com/Azure/azure-storage-azcopy/v10/cmd.init
